x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c]  ID
-1.679332714306089436e+00 -9.337547428377394043e-01 -1.914441219954511997e+00 -6.368853186494503049e-01 2.784958100414522924e+05 2.863066733491907598e+03 7.071500000000000000e+04
-1.422601542582138390e-01 -2.463666976596769476e-01 9.681570000548825883e-01 -1.246793503307034312e+00 2.784934135192023823e+05 2.704378093000080753e+03 6.278700000000000000e+04
-5.995665375869947411e-01 -3.683213944054297695e-01 6.476587212116591274e-02 -3.638134084922211575e-01 2.785066217526817345e+05 2.865088951971065399e+03 5.568800000000000000e+04
2.843219130049020604e-01 -1.717069484656987555e-01 -2.464842712639789823e+00 1.690613893017534064e+00 2.785029047450062353e+05 3.031884755869167748e+03 6.258500000000000000e+04
-4.378974002807840549e+00 -1.880000438061085299e+00 -1.092053169030919202e+00 2.239858747478796541e+00 2.785060946349945734e+05 2.925137117176245738e+03 4.422500000000000000e+04
1.887274544939029575e+00 1.123376322383714321e+00 -2.286962078113914387e-01 4.929813865649394500e-01 2.784936797670230153e+05 2.721902802042491203e+03 6.113200000000000000e+04
-2.820428860716209130e+00 -2.170264270706714349e-01 -5.613305882846658657e-01 1.253539563361702358e+00 2.785056489379556733e+05 2.939632403566094126e+03 3.356700000000000000e+04
-3.371255925288147104e+00 -8.249460924017533170e-01 1.463801424846288946e+00 -1.139351930034995908e+00 2.784962048543193378e+05 2.909206125772301220e+03 3.144900000000000000e+04
3.269436320620981995e+00 1.559777077395772427e+00 -7.183601914430578494e-01 -1.349473338289650971e-02 2.785096717842579819e+05 2.641092223945303431e+03 4.425500000000000000e+04
-5.501781452013734253e+00 -1.532815734122821905e+00 -4.174859557083756417e-02 1.047646462849513238e+00 2.785039149492114666e+05 3.011269606482024301e+03 8.400000000000000000e+01
-9.301735472371387425e-01 -6.993942522443458154e-01 -2.389230310982642713e+00 1.675671806749638337e+00 2.786075608615941019e+05 2.820901979852192653e+03 3.356600000000000000e+04
-2.609182244298762221e+00 -7.771115410100443155e-02 -1.649807064743330776e-01 5.592451962344811844e-02 2.784979914731127792e+05 2.995096089176547139e+03 3.537000000000000000e+04
-8.374991631013614102e-01 -4.813067731201105259e-02 -6.077944565889885631e-01 -9.289701672347581984e-02 2.785068222864051349e+05 2.854685968998130647e+03 5.230200000000000000e+04
-4.422741063518768279e+00 -1.365344748356008164e+00 2.142993716667521031e+00 -1.046735317461568338e+00 2.784997216644186410e+05 3.041772877507543853e+03 4.668500000000000000e+04
-5.131393868119347168e-01 4.818863581786826389e-01 4.833586124936694040e-01 -8.524360747280425032e-01 2.784988099624444149e+05 3.007947027277623420e+03 8.900000000000000000e+01
8.251224789458094788e-02 5.550219253572632461e-01 -2.413242769711843039e-01 4.215274839618987079e-01 2.785064325792073505e+05 2.871168559110617025e+03 9.000000000000000000e+01
-8.990370604609922989e-01 -7.261403824783181360e-01 -5.478354537340386354e-01 3.860012658147324305e-01 2.785041488814734621e+05 2.981729150895047951e+03 6.885100000000000000e+04
-2.544215651168099335e+00 -4.239590912403919942e-01 6.553662925885240798e-01 -5.476004687387814318e-01 2.785091416768019553e+05 2.676216679813377141e+03 9.200000000000000000e+01
2.116525067156468598e+00 1.161463473748533426e+00 1.935399533978144626e-01 -6.238191839348572465e-01 2.785018855566615239e+05 3.041658765837699320e+03 4.798600000000000000e+04
-3.434238109912186143e+00 -1.335708672144435560e+00 1.342528105370839109e+00 6.595512939846704947e-01 2.785020157128231367e+05 3.061679814188516502e+03 5.228400000000000000e+04
5.278272660863247458e-03 -5.442348833131184227e-01 -3.889675797873415330e-01 -8.896036990181069859e-01 2.784955423867278732e+05 2.867734928442312594e+03 4.422300000000000000e+04
2.599312386977255862e+00 1.029665969893502453e+00 -4.412745662189947460e-01 -1.267789305857158211e-01 2.785018891455428093e+05 3.044515129851467009e+03 3.356400000000000000e+04
-2.493547869023376329e+00 -2.210128119436623351e+00 3.525248120876801894e-02 -4.891407652434668352e-01 2.785152421577167697e+05 2.045183802521765983e+03 5.663800000000000000e+04
4.403621722964036422e+00 1.546619407337764374e+00 -9.001874990494994622e-01 4.995734456710727162e-02 2.785069434190659085e+05 2.859772326599601001e+03 7.071300000000000000e+04
6.003550681894197716e+00 1.932049338020021434e+00 -5.107541686956502680e-01 5.006209268684286284e-01 2.785036501612263964e+05 3.018301306320221101e+03 2.981700000000000000e+04
-1.416980960285791014e+00 8.671167389062534037e-01 5.694284355586038959e-01 2.450547665441947798e-01 2.785059215570109081e+05 2.930369963971551897e+03 6.411700000000000000e+04
-1.417918813130435884e+00 -1.257281295728060799e+00 -5.459402035493315930e-01 -1.074230343214088501e+00 2.784982186336516752e+05 2.986287003339033163e+03 4.422100000000000000e+04
2.250138991942005173e+00 7.441852468814507127e-01 -1.336602774701225904e+00 5.034521539449322569e-01 2.785038542223516852e+05 3.004164129144618073e+03 6.885200000000000000e+04
2.389245772960813419e+00 7.808527836532662691e-01 -2.098755022797894387e+00 5.136272840588996802e-01 2.784993625768360798e+05 3.040071062131235067e+03 1.030000000000000000e+02
3.914275056209907344e+00 1.338645923748297939e+00 -1.239821680978799190e+00 -1.222085445273547316e-01 2.785037922774953768e+05 2.997445055499455975e+03 4.421800000000000000e+04
-2.496549171372557385e+00 -6.140104877233684144e-01 -1.803564376044151096e-01 3.038306511843179569e-01 2.785015513533790945e+05 3.040545436093595526e+03 3.848900000000000000e+04
9.959962035051864726e-01 3.611138085547471177e-01 2.684443600377742101e+00 -1.859719018779365740e+00 2.785049877226405661e+05 2.969201602183943578e+03 5.363200000000000000e+04
-2.358530063713192959e+00 -5.371263320883096215e-01 -2.031709971333533815e+00 1.186209827357726398e+00 2.785049881691062474e+05 2.968202137857478647e+03 4.425600000000000000e+04
1.698437757997296460e+00 5.356341141365754677e-01 4.341828367759443807e-01 -1.664626499645467383e-01 2.784944166263971711e+05 2.800016333289941940e+03 6.112700000000000000e+04
-3.628045980304754003e+00 -9.643890452682274406e-01 4.655243899994988555e-01 5.708372814295249453e-01 2.785001043028925778e+05 3.043363580744469346e+03 4.024700000000000000e+04
1.478415308174559684e+00 -2.869493814272673915e-01 -5.930978753291598071e-01 2.854932811900548484e-01 2.784970079031213536e+05 2.946260273818743826e+03 2.635100000000000000e+04
-4.027894593806957246e+00 -1.151302758835075934e+00 1.395677974123490150e+00 -4.577751165028883240e-01 2.784966816950579523e+05 2.929236156617739198e+03 1.110000000000000000e+02
2.387431464290600491e+00 2.467553411587793677e-01 2.216499428034323926e-01 -1.154293082513121682e+00 2.784990901502959896e+05 3.033645340100455996e+03 2.493300000000000000e+04
-1.001687909094113538e+00 -1.411578908017477318e-01 -2.481304106332110404e+00 1.057664596520748512e+00 2.785029536441404489e+05 2.969380362102909658e+03 6.112600000000000000e+04
-3.876803366421011976e+00 -5.634335294826046114e-01 3.555004682390493498e-01 7.933169992118083158e-01 2.784975448225310538e+05 2.940914748830044573e+03 2.881900000000000000e+04
-3.212666254098267560e-01 -4.571305916035588446e-01 6.370281831669236672e-01 -5.234149575579735147e-01 2.785133965161505039e+05 2.199732043766120114e+03 7.071200000000000000e+04
2.160627400378234864e+00 2.149352211857287753e-01 -3.161189366284247737e-01 -3.564594142862813619e-01 2.784932272789400886e+05 2.676228838142490986e+03 1.160000000000000000e+02
-8.329099170631276694e-01 -2.110082396967994656e-01 2.305246243183741051e+00 -9.963499777165065741e-01 2.785018455706078676e+05 3.061956726096989769e+03 2.977900000000000000e+04
-2.868487025083784836e+00 -1.132200334664937413e+00 2.512273991211207758e+00 -7.380582864346125760e+00 2.785170864817106631e+05 1.904556961553411611e+03 1.180000000000000000e+02
-1.870607056366926813e+00 -6.419951876743696939e-01 -1.928027847280744167e+00 2.506128198584356426e+00 2.785069959893295309e+05 2.822910058684243268e+03 6.115500000000000000e+04
-9.586913181787629634e-01 -2.371606926047997443e-01 2.676018861211023614e-01 -4.465276346717816924e-01 2.784997653127563535e+05 3.051701984544232801e+03 6.688900000000000000e+04
-1.342810265434045247e+00 -3.716428071805600863e-01 7.660977466297123062e-01 -1.256479846348422580e+00 2.784985762448402820e+05 3.018377094552153721e+03 1.210000000000000000e+02
1.762242729564915900e+00 4.585421402968220539e-01 2.784515879150162743e+00 -1.760708029715016165e+00 2.784951085909807589e+05 2.824292939514908539e+03 1.220000000000000000e+02
-7.646392174632603567e-01 -3.948441794690055184e-01 2.372170858857029219e-01 -1.418080448442154529e+00 2.785059813747586450e+05 2.919399497832464021e+03 1.230000000000000000e+02
-7.672894931302189914e-01 -8.275168909580593590e-01 2.734771716159239308e+00 -1.186564986991886395e+00 2.784975180827617296e+05 2.951105595877409542e+03 1.240000000000000000e+02
1.841683951686520881e+00 -6.068686990165206296e-01 -9.568958714802630050e-01 -7.239954607136162013e-01 2.785076975468859891e+05 2.808952602364289760e+03 4.421500000000000000e+04
1.494579488151239977e+00 5.323698144588246972e-01 -1.090458905250792698e+00 2.350881715602132438e+00 2.784963033715800848e+05 2.895394772330267187e+03 5.228300000000000000e+04
1.396193867091432672e+00 3.493778233836101754e-01 7.296256649090582247e-01 1.809623621523781256e-01 2.785044047115252470e+05 2.980112957961852771e+03 2.535300000000000000e+04
1.330549624695739119e+00 9.080281061997163006e-01 -4.340905150730619000e-01 3.493299042164748625e-01 2.785071990436271881e+05 2.832976000424726408e+03 1.280000000000000000e+02
-2.432204478031201322e+00 -3.743261642766295694e-01 1.296172990007388170e+00 2.565940839650273642e-01 2.785117458172304323e+05 2.428432192399083306e+03 5.230300000000000000e+04
1.601651936905580109e-01 -3.915134261128153104e-01 -1.521195188001110754e+00 8.640183700936547861e-01 2.784950140904284781e+05 2.829658325916477224e+03 1.300000000000000000e+02
-1.148256159219466187e-02 -3.168613717246983041e-01 1.120681876973246283e+00 -1.204456419232804304e-01 2.785062993233377929e+05 2.836981266047795998e+03 3.089100000000000000e+04
-7.347023431441519925e+00 -2.781142694303854856e+00 -1.198775842018001914e+00 -4.689552608767545427e-01 2.785126046584966243e+05 2.357128243208001095e+03 1.320000000000000000e+02
4.673124250375022548e+00 1.876183540118094628e+00 1.357289997591501818e+00 -3.969352512845143455e-01 2.785054353755034390e+05 2.965360949237080149e+03 5.228000000000000000e+04
-2.388083981251524879e+00 -5.466851540525251574e-01 -2.754225818952945826e+00 -9.351035403966975745e-02 2.784956762876937282e+05 2.855067899076192134e+03 6.688700000000000000e+04
1.423053778885781551e+00 1.749792821088521411e+00 2.121142474534028821e+00 8.783014028677514906e-01 2.784992982628838508e+05 2.986351569305769772e+03 1.350000000000000000e+02
-2.945109865699330864e+00 -4.553833259478968221e-01 9.352918935665435196e-01 -1.091731107481583862e+00 2.784958678166423342e+05 2.871706537347904032e+03 6.778700000000000000e+04
-3.683289548857461959e+00 -1.365843286817157276e+00 -7.239779118776583644e-01 -9.645886384634904109e-01 2.784992970312885009e+05 3.016086922895374300e+03 5.501100000000000000e+04
-3.692982850390604810e+00 -1.318350980992699650e+00 -6.336363169011454133e-01 1.198496803227205199e+00 2.785034286915397388e+05 3.020322878871560079e+03 6.112200000000000000e+04
5.813195416492544787e+00 2.239006389854258927e+00 1.067231017742453547e+00 3.711468495733735162e-01 2.784985317917572102e+05 2.990582917519918738e+03 1.390000000000000000e+02
-1.685979075440816599e+00 -7.560511763395916240e-01 -1.886303636356287117e-01 -5.600327052260101190e-02 2.785017506448996137e+05 3.054937973793523724e+03 7.070800000000000000e+04
6.533958772668083448e+00 1.993973074534510337e+00 2.463440661474246340e+00 -1.054429222078655748e+00 2.785012931875594659e+05 3.029828194974826602e+03 4.421400000000000000e+04
6.877521412801606004e-01 -1.441233886118310215e-01 -1.341839406995303463e+00 8.187743980665215249e-01 2.785020594881448778e+05 3.049782403290540060e+03 6.111900000000000000e+04
1.551387466818320071e+00 6.764125538124071690e-01 3.722556016326675765e-01 7.686035791835533759e-01 2.785019799205738818e+05 3.049591360571659607e+03 1.430000000000000000e+02
-1.097150058127187355e+00 -2.371377178658494282e-03 1.003535247938800584e-01 2.078156962449737577e+00 2.784984772008869913e+05 2.985192063294849049e+03 1.440000000000000000e+02
-1.498385671673522879e+00 4.667610001388595720e-01 1.614989756398587328e+00 3.391836240502879574e-01 2.785094292963234475e+05 2.661670338391387759e+03 4.537800000000000000e+04
-2.960439165857138288e+00 -1.453890782805520754e+00 1.344567700982193914e+00 1.021618339433190581e+00 2.785035080988641130e+05 3.013728355549775642e+03 5.227700000000000000e+04
-5.704050283181569814e-01 5.252096947144893266e-03 -2.073895327696670954e+00 1.264511686777381572e+00 2.784989570276705199e+05 3.028787966587385654e+03 3.892600000000000000e+04
3.979096421301151487e+00 1.225713591516624179e+00 -2.809714904591359974e-01 1.284857853204130484e-01 2.785035549281811691e+05 3.015220702231259111e+03 1.480000000000000000e+02
-2.151439320316733905e+00 -2.870005140113782161e-01 8.549125797863311726e-01 3.504356823653440034e-01 2.785021227025131811e+05 3.007616456750380621e+03 2.459700000000000000e+04
-3.276356538169642008e+00 -3.808659569223070696e-01 1.785779946397035300e-01 -1.367231723997691883e+00 2.784963287315887283e+05 2.899735118337272070e+03 3.565200000000000000e+04
2.012436229176157276e+00 5.027540253282134636e-02 -1.596015088540611249e+00 -2.582234054604242157e-01 2.785040698417664389e+05 3.002164400603817285e+03 1.510000000000000000e+02
1.119171185561456255e-01 -7.789770515868340572e-01 -2.798579757177233063e+00 1.022632640397948434e+00 2.784993159599530627e+05 3.015347139585077912e+03 4.421300000000000000e+04
1.643114459278944395e+00 4.422357949419650214e-01 -2.180837485560570332e+00 -9.366199066755503955e-01 2.784960841121142730e+05 2.874044410608697490e+03 6.824700000000000000e+04
3.784925775405433512e+00 1.229861366141383971e+00 -1.278744272969676077e+00 3.972581751081079027e-01 2.785016159291231888e+05 3.055303716577089745e+03 1.540000000000000000e+02
-6.301510629904941325e-03 2.267794215754324605e-01 -7.490082757390207346e-01 8.932784010540382180e-01 2.785023937278726371e+05 3.000041315532407225e+03 1.550000000000000000e+02
2.585250772271714403e+00 1.047250692360489843e+00 -4.774324292714450801e-01 9.410257811300265507e-02 2.785029339810964302e+05 3.035409000874147296e+03 5.227600000000000000e+04
-1.953723316475583172e+00 -6.147292890071357485e-01 -2.223722870109533289e+00 2.280771914934089040e+00 2.785053409631521790e+05 2.905258369660887638e+03 2.720700000000000000e+04
-5.492676990832364048e+00 -1.236721246829756815e+00 1.482264314930831661e+00 -1.614408348828493711e+00 2.784987840639374335e+05 3.007698698340655028e+03 5.456000000000000000e+04
3.973731444496462206e+00 1.136310717358162803e+00 1.937991376527557819e+00 -1.016174275403550320e+00 2.785013848379688570e+05 3.037269460473714389e+03 3.848600000000000000e+04
