Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
1.932670621295266844e-02 6.509831991999993905e-02 2.223959242993500396e-01 -7.265438326922637913e+00 -3.340099049259927622e+00 -2.948664515917656104e+00 1.642265684902638245e+00 2.151440656920162837e+03 2.785134518367183045e+05 4.491600000000000000e+04
1.919805879123820684e-04 -4.318179528425602869e-03 1.196095853275766160e-02 -6.830604133285719470e+00 -2.441367804918305406e+00 -5.542430098830700702e-01 5.943766095320431875e-01 2.882259214187893576e+03 2.785055814311836148e+05 6.159400000000000000e+04
1.638511407487399513e-02 2.107015201045867384e-02 6.196816959629022209e-02 1.880031045469545248e+00 -6.322131627251240116e-02 -1.832931226299719663e-01 8.076911397540098569e-01 2.898688450586430463e+03 2.785051001615119167e+05 6.487700000000000000e+04
-1.080850856267200543e-03 -1.771902792451581464e-03 5.454821539640199862e-02 -5.705520239090885459e-01 -1.366230485328952526e-01 8.077543853523146133e-02 4.428448104579935651e-01 2.993499684543126932e+03 2.784983797062205849e+05 6.200900000000000000e+04
-1.158257103417599347e-02 3.755084931948785183e-03 -2.726402780711025681e-02 -2.199671723398940737e-01 -1.719492565439527942e-01 1.866222922321236488e-01 1.789756391129992741e+00 3.017112697394445149e+03 2.785002005249948706e+05 8.100000000000000000e+01
9.022946726074851723e-03 1.119874461067166260e-02 4.725196381895108849e-02 2.157432614862902387e+00 6.432101282839989276e-01 4.140445591649608015e-02 -1.049926051549080697e+00 2.987697489262011914e+03 2.785028238591880072e+05 3.277400000000000000e+04
7.291805137676428850e-05 -6.521028818746352727e-03 4.632020213900280882e-03 5.594279553432174090e+00 2.181889375570371215e+00 2.004952924542795500e+00 -2.047097872700893439e-01 3.051066041735982253e+03 2.785005971565293730e+05 5.417200000000000000e+04
2.361613296830458036e-03 4.599287395604887904e-03 1.905694593294294040e-02 2.106593058238066529e+00 8.569351547967073435e-01 7.193546665907912807e-02 4.878948102562798983e-01 2.775571347827129102e+03 2.785068638682029559e+05 8.400000000000000000e+01
-2.038904291067297758e-02 -7.120842719652417142e-03 4.709209052570161036e-02 1.040903730872314359e+00 -6.884555203265003975e-02 2.301981719657091030e-01 9.089086776837399517e-01 2.951186677674132170e+03 2.785041681952059153e+05 8.500000000000000000e+01
4.058486320078138511e-03 -4.054165913534813100e-03 4.229955127577583567e-03 -1.904146248577468503e-01 -3.887465577593340882e-01 -3.234030820390016103e+00 -5.844414193769619237e-01 2.977602291408290057e+03 2.784977298553899745e+05 8.600000000000000000e+01
2.806785275931330311e-03 2.744180287042874964e-04 1.290946346018604458e-03 4.652404346357360332e+00 1.323273195726266671e+00 1.087862464164392806e+00 -1.342736028423867856e+00 2.838748646077491685e+03 2.785064482616857276e+05 8.700000000000000000e+01
-3.809029439584700038e-04 5.820221472654979813e-03 9.617996372786064355e-03 1.965336079698983385e+00 5.980197218580296514e-01 3.393956034712502401e+00 -3.497692194668664545e+00 3.021972587214005671e+03 2.785000053016288439e+05 8.800000000000000000e+01
-3.971894331921223265e-03 -2.229169929145322429e-02 -6.066696901354612370e-03 6.828399876745840924e-01 7.764648934399948077e-01 -4.027326900048626701e-01 1.611316621987881170e+00 2.958707999699608081e+03 2.785029133778157993e+05 3.921500000000000000e+04
