x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
-5.577526969574985394e+00 -3.192481440250251601e-01 -1.165374656029803013e+01 2.738997708833994515e+00 3.191038090715244180e+05 2.871390439887665252e+03 5.045100000000000000e+04
-8.864946313242639819e-01 -6.231327324772976267e-02 1.727649987088588857e+00 -8.250632294159689906e-01 3.191017017123586265e+05 2.890465854119711821e+03 1.030000000000000000e+02
-2.627625291165459842e+01 -1.063229833455153095e+00 4.963387518828568545e+00 -1.226462323051675574e+00 3.191106061348883668e+05 2.835611998321554893e+03 6.514300000000000000e+04
1.250797027007499729e+01 5.929017107952754273e-01 -3.625232332501023613e+00 6.475462332154838796e-01 3.191090589347917703e+05 2.836836635428200680e+03 3.209800000000000000e+04
1.011894071797813588e+01 3.972662884313764020e-01 -2.791293361741636336e-01 9.266983556545164979e-02 3.191100869727570680e+05 2.833893529636731728e+03 3.069100000000000000e+04
6.863586724550058138e-01 -8.754569448025063538e-01 -4.864714163416679504e+00 -1.799789887607979422e+00 3.192410030337201897e+05 2.428595224344274357e+03 3.277800000000000000e+04
-1.319188449533562313e+01 -5.321513425466779523e-01 9.159354821728832974e+00 -1.927855782877474278e+00 3.191089455380587024e+05 2.860717818551529490e+03 1.080000000000000000e+02
-5.754331108936459049e-01 9.918088683668020711e-02 3.349601197166756972e+00 -5.901883932509285335e-01 3.191044152143575484e+05 2.870739593882951795e+03 2.687400000000000000e+04
1.544383172529468107e+00 3.037672761562495882e+00 -1.267117819743828449e+02 3.286772517272003569e+01 3.195584681543954066e+05 1.931832676986026627e+03 1.100000000000000000e+02
-1.967755672712512283e+00 -2.279114386986605401e-01 7.056083378639634862e-01 -2.807459007457517308e-01 3.191112307991472771e+05 2.827512688517451807e+03 1.110000000000000000e+02
-6.516953147131743229e+00 -2.504780571035383208e-01 5.216742547851476175e-01 -1.091091232089357044e-01 3.191098249662951566e+05 2.844761283487484434e+03 5.782800000000000000e+04
-2.632601218916206776e+01 -1.632958780517669739e+00 -9.814374106830062727e-01 5.834173006610119533e-02 3.191056141394752776e+05 2.883591393354827687e+03 5.600600000000000000e+04
-5.164651448072168805e+00 -3.806495204290549217e-01 2.227516545175691753e+00 -8.988815463192580957e-01 3.191036601266469224e+05 2.876454522058818839e+03 3.628000000000000000e+04
1.507313842207660848e+00 -1.275421516037713449e-02 5.113044999898828102e-01 -3.498635089547417754e-01 3.191143922174416948e+05 2.817654452570389822e+03 7.071500000000000000e+04
7.731213261238819578e-01 2.378503578675174313e-02 -4.756859176758163166e+00 1.128650051418637279e+00 3.191063428444991005e+05 2.848637996309262235e+03 1.160000000000000000e+02
-4.844317559278316310e+00 -3.847810869627279473e-01 4.007667314469165909e+00 -1.239601400360186068e+00 3.191045150971849798e+05 2.868576945608194364e+03 6.814200000000000000e+04
